species_id	scientific_name	target_gene	slot_x	is_target	neighbour_symbol	side	order	orientation	gene_id	placeholder	classification	status	orthology_confidence	distance_to_target
homo_sapiens	Homo sapiens	BCL2L1	-5	false	TTLL9	upstream	5	+		false	exact	resolved	high	146671
homo_sapiens	Homo sapiens	BCL2L1	-4	false	DUSP15	upstream	4	-		false	exact	resolved	high	121630
homo_sapiens	Homo sapiens	BCL2L1	-3	false	FOXS1	upstream	3	-		false	exact	resolved	high	120340
homo_sapiens	Homo sapiens	BCL2L1	-2	false	MYLK2	upstream	2	+		false	exact	resolved	high	95393
homo_sapiens	Homo sapiens	BCL2L1	-1	false	TPX2	upstream	1	+		false	exact	resolved	high	15327
homo_sapiens	Homo sapiens	BCL2L1	0	true		target	0	-	gene-BCL2L1	false	target	target	target	0
homo_sapiens	Homo sapiens	BCL2L1	1	false	COX4I2	downstream	1	+		false	exact	resolved	high	19446
homo_sapiens	Homo sapiens	BCL2L1	2	false	ID1	downstream	2	+		false	exact	resolved	high	57942
homo_sapiens	Homo sapiens	BCL2L1	3	false	MCTS2	downstream	3	+		false	exact	resolved	high	116371
homo_sapiens	Homo sapiens	BCL2L1	4	false	HM13	downstream	4	+		false	exact	resolved	high	94909
homo_sapiens	Homo sapiens	BCL2L1	5	false	REM1	downstream	5	+		false	exact	resolved	high	179557
mus_musculus	Mus musculus	Bcl2l1	-5	false	Ttll9	upstream	5	+		false	exact	resolved	high	119334
mus_musculus	Mus musculus	Bcl2l1	-4	false	Dusp15	upstream	4	-		false	exact	resolved	high	109283
mus_musculus	Mus musculus	Bcl2l1	-3	false	Foxs1	upstream	3	-		false	exact	resolved	high	100186
mus_musculus	Mus musculus	Bcl2l1	-2	false	Mylk2	upstream	2	+		false	exact	resolved	high	79633
mus_musculus	Mus musculus	Bcl2l1	-1	false	Tpx2	upstream	1	+		false	exact	resolved	high	16227
mus_musculus	Mus musculus	Bcl2l1	0	true		target	0	-	gene-Bcl2l1	false	target	target	target	0
mus_musculus	Mus musculus	Bcl2l1	1	false	Cox4i2	downstream	1	+		false	exact	resolved	high	0
mus_musculus	Mus musculus	Bcl2l1	2	false	Id1	downstream	2	+		false	exact	resolved	high	21322
mus_musculus	Mus musculus	Bcl2l1	3	false	Mcts2	downstream	3	+		false	exact	resolved	high	70781
mus_musculus	Mus musculus	Bcl2l1	4	false	H13	downstream	4	+		false	exact	resolved	high	50062
mus_musculus	Mus musculus	Bcl2l1	5	false	Rem1	downstream	5	+		false	exact	resolved	high	123541
