species	isoform	msa_name	region_type	mean_conservation_score	mean_gap_fraction	n_alignment_columns	conservation_status	conservation_warning
alligator_mississippiensis	IIIc	full_length	cassette	0.8441	0.0747	50	cassette_highly_conserved
alligator_mississippiensis	IIIc	full_length	left_boundary_window	0.8475	0.0091	11	left_boundary_window_highly_conserved
alligator_mississippiensis	IIIc	full_length	right_boundary_window	0.851	0.3636	11	right_boundary_window_highly_conserved
alligator_mississippiensis	IIIc	full_length	full_sequence	0.9099	0.2382	1091	full_sequence_highly_conserved
alligator_mississippiensis	IIIb	full_length	cassette	0.8497	0.0759	49	cassette_highly_conserved
alligator_mississippiensis	IIIb	full_length	left_boundary_window	0.8444	0.0106	11	left_boundary_window_highly_conserved
alligator_mississippiensis	IIIb	full_length	right_boundary_window	0.851	0.3636	11	right_boundary_window_highly_conserved
alligator_mississippiensis	IIIb	full_length	full_sequence	0.9099	0.2382	1091	full_sequence_highly_conserved
ambystoma_mexicanum	IIIc	full_length	cassette	0.8441	0.0747	50	cassette_highly_conserved
ambystoma_mexicanum	IIIc	full_length	left_boundary_window	0.8475	0.0091	11	left_boundary_window_highly_conserved
ambystoma_mexicanum	IIIc	full_length	right_boundary_window	0.851	0.3636	11	right_boundary_window_highly_conserved
ambystoma_mexicanum	IIIc	full_length	full_sequence	0.9099	0.2382	1091	full_sequence_highly_conserved
ambystoma_mexicanum	IIIb	full_length	cassette	0.8497	0.0759	49	cassette_highly_conserved
ambystoma_mexicanum	IIIb	full_length	left_boundary_window	0.8444	0.0106	11	left_boundary_window_highly_conserved
ambystoma_mexicanum	IIIb	full_length	right_boundary_window	0.851	0.3636	11	right_boundary_window_highly_conserved
ambystoma_mexicanum	IIIb	full_length	full_sequence	0.9099	0.2382	1091	full_sequence_highly_conserved
anolis_carolinensis	IIIc	full_length	cassette	0.8497	0.0759	49	cassette_highly_conserved
anolis_carolinensis	IIIc	full_length	left_boundary_window	0.8444	0.0106	11	left_boundary_window_highly_conserved
anolis_carolinensis	IIIc	full_length	right_boundary_window	0.851	0.3636	11	right_boundary_window_highly_conserved
