species_id	scientific_name	primary_protein_id	n_protein_models	n_curated_models	n_predicted_models	primary_protein_length	protein_length_min	protein_length_max	n_variable_alignment_blocks	n_exploratory_candidates	max_difference_from_primary_aa
homo_sapiens	Homo sapiens	ENSP00000351276	1			821	821	821		0
pan_troglodytes	Pan troglodytes	XP_054516514.1	1			840	840	840		0
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	1			723	723	723		0
pongo_abelii	Pongo abelii	XP_024108704.1	1			838	838	838		0
macaca_mulatta	Macaca mulatta	XP_077803775.1	1			838	838	838		0
callithrix_jacchus	Callithrix jacchus	XP_078202765.1	1			840	840	840		0
mus_musculus	Mus musculus	ENSMUSP00000112430	1			840	840	840		0
rattus_norvegicus	Rattus norvegicus	XP_063137149.1	1			840	840	840		0
oryctolagus_cuniculus	Oryctolagus cuniculus	XP_069913096.1	1			840	840	840		0
canis_lupus_familiaris	Canis lupus familiaris	NP_001003336.1	1			707	707	707		0
felis_catus	Felis catus	XP_044896695.1	1			840	840	840		0
bos_taurus	Bos taurus	XP_059737724.1	1			840	840	840		0
sus_scrofa	Sus scrofa	XP_084849197.1	1			840	840	840		0
equus_caballus	Equus caballus	XP_014588430.1	1			886	886	886		0
ovis_aries	Ovis aries	XP_060260490.1	1			840	840	840		0
monodelphis_domestica	Monodelphis domestica	XP_056659242.1	1			839	839	839		0
ornithorhynchus_anatinus	Ornithorhynchus anatinus	XP_028936644.1	1			839	839	839		0
gallus_gallus	Gallus gallus	NP_990650.2	1			842	842	842		0
meleagris_gallopavo	Meleagris gallopavo	ENSMGAP00000031571	1			627	627	627		0
taeniopygia_guttata	Taeniopygia guttata	XP_072787409.1	1			890	890	890		0
anolis_carolinensis	Anolis carolinensis	XP_062832081.1	1			873	873	873		0
alligator_mississippiensis	Alligator mississippiensis	XP_006266188.1	1			868	868	868		0
chrysemys_picta_bellii	Chrysemys picta bellii	XP_065408413.1	1			840	840	840		0
xenopus_tropicalis	Xenopus tropicalis	ENSXETP00000069725	1			910	910	910		0
ambystoma_mexicanum	Ambystoma mexicanum	XP_069468056.1	1			838	838	838		0
danio_rerio	Danio rerio	XP_068081038.1	1			840	840	840		0
oryzias_latipes	Oryzias latipes	XP_078787744.1	1			832	832	832		0
gasterosteus_aculeatus	Gasterosteus aculeatus	ENSGACP00000061458	1			917	917	917		0
takifugu_rubripes	Takifugu rubripes	ENSTRUP00000045145	1			838	838	838		0
oreochromis_niloticus	Oreochromis niloticus	ENSONIP00000063320	1			812	812	812		0
