gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Pfam	PF07679	Immunoglobulin I-set domain	192	269	5.1E-12	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Pfam	PF07714	Protein tyrosine and serine/threonine kinase	502	778	1.1E-98	T	04-08-2026	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	163	271	1.6E-32	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	63	151	8.4E-19	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:3.30.200.20	Phosphorylase Kinase; domain 1	458	587	6.8E-44	T	04-08-2026	-	-	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	588	783	7.5E-67	T	04-08-2026	-	-	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	ProSiteProfiles	PS50835	Ig-like domain profile.	175	268	11.315378	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	492	778	1.11E-81	T	04-08-2026	IPR011009	Protein kinase-like domain superfamily	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	ProSiteProfiles	PS50835	Ig-like domain profile.	277	379	10.0086	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Pfam	PF13927	Immunoglobulin domain	67	131	2.3E-4	T	04-08-2026	-	-	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Pfam	PF13927	Immunoglobulin domain	286	367	1.8E-6	T	04-08-2026	-	-	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	ProSiteProfiles	PS50835	Ig-like domain profile.	61	147	9.137415	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00219	tyrkin_6	502	778	0.0	T	04-08-2026	IPR020635	Tyrosine-protein kinase, catalytic domain	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SUPERFAMILY	SSF48726	Immunoglobulin	67	149	7.67E-15	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	272	386	1.0E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SUPERFAMILY	SSF48726	Immunoglobulin	277	380	3.54E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00408	igc2_5	75	136	4.7E-11	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00408	igc2_5	191	259	2.7E-13	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00408	igc2_5	290	370	9.5E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00409	IG_3c	185	270	1.1E-7	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00409	IG_3c	284	381	2.8E-14	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00409	IG_3c	69	147	4.7E-8	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SUPERFAMILY	SSF48726	Immunoglobulin	188	271	2.65E-20	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	ProSiteProfiles	PS50011	Protein kinase domain profile.	502	791	42.463497	T	04-08-2026	IPR000719	Protein kinase domain	-	-
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	Pfam	PF07679	Immunoglobulin I-set domain	192	269	5.1E-12	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-
